Renters_percent,avgCommuteTime,medHouseIncome,medianSalePrice,neighborhood,url_OwnersvsRenters
0.69060359,34.6301051,37298.22301,319500,Logan Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269592&regionType=8&service=chart
,,,205000,Little Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403117&regionType=8&service=chart
,,,117600,West Rogers Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403169&regionType=8&service=chart
0.36076799,34.99717798,39512.37295,145000,Archer Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269568&regionType=8&service=chart
,,,200000,South Austin,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403120&regionType=8&service=chart
0.80971598,37.05542094,31957.59068,179400,Rogers Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269605&regionType=8&service=chart
0.59329195,36.37832955,43937.02845,236300,Albany Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269566&regionType=8&service=chart
0.68821487,35.37718072,47835.52292,413300,Lake View,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269589&regionType=8&service=chart
0.64637478,41.65369508,20690.53614,47000,Englewood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=138261&regionType=8&service=chart
0.40346195,41.40061563,37031.62178,86900,Gresham,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269571&regionType=8&service=chart
0.48722458,35.48799332,36019.07075,100000,Brighton Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273040&regionType=8&service=chart
0.76885662,39.64601892,29301.38219,76500,South Shore,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269608&regionType=8&service=chart
0.40926895,34.97888366,46523.88994,282500,Portage Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=275083&regionType=8&service=chart
0.31954112,33.54463722,50120.88279,276200,Jefferson Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269588&regionType=8&service=chart
0.60126089,36.92965656,29245.31149,265000,Humboldt Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269585&regionType=8&service=chart
,,,170000,Back of the Yards,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403146&regionType=8&service=chart
0.37945744,37.13402518,36499.2144,85000,Gage Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269582&regionType=8&service=chart
,,,201000,Cragin,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=28173&regionType=8&service=chart
0.57248692,31.66701972,37010.54476,372600,Bridgeport,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273035&regionType=8&service=chart
,,,238300,Lake View East,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403295&regionType=8&service=chart
,,,317100,South Loop,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269607&regionType=8&service=chart
0.16285413,34.70480385,48241.135,142500,West Lawn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269614&regionType=8&service=chart
,,,151400,Edgewater Beach,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403257&regionType=8&service=chart
,,,138000,Marquette Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403148&regionType=8&service=chart
,,,219000,Bronzeville,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403145&regionType=8&service=chart
,,,320600,Gold Coast,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403303&regionType=8&service=chart
,,,216000,Belmont Central,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403109&regionType=8&service=chart
0.47124188,42.52469882,33253.42569,145000,South Chicago,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=140437&regionType=8&service=chart
0.24552482,44.09002901,43430.41756,129000,West Pullman,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=140913&regionType=8&service=chart
0.14806682,36.37635665,47431.61818,205000,Garfield Ridge,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269584&regionType=8&service=chart
,,,296100,Ravenswood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=33597&regionType=8&service=chart
0.39442183,42.8900619,27728.75316,153500,West Englewood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269612&regionType=8&service=chart
0.66511557,30.56942903,45141.77792,371500,West Town,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269615&regionType=8&service=chart
,,,316500,North Austin,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403323&regionType=8&service=chart
0.66330859,35.75272538,36799.46306,235000,Uptown,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269609&regionType=8&service=chart
0.51189023,26.25747869,65137.75097,333500,Near North,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269597&regionType=8&service=chart
0.70249383,35.42302053,26996.16302,230000,East Garfield Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269577&regionType=8&service=chart
0.32687075,41.61716195,39527.67458,138200,Roseland,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=275251&regionType=8&service=chart
0.24838644,33.78146246,40117.09874,83200,East Side,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=138166&regionType=8&service=chart
0.53959079,35.92831846,38295.17315,0,Hermosa,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273964&regionType=8&service=chart
0.53511026,39.59739692,34536.6082,139000,Chatham,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273222&regionType=8&service=chart
0.66162183,28.35436342,39468.50535,270000,Hyde Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269586&regionType=8&service=chart
,,,0,Heart of Chicago,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403330&regionType=8&service=chart
0.19635836,33.33046843,46268.5412,151000,West Elsdon,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269611&regionType=8&service=chart
0.4408414,39.53654437,37071.52745,199000,Chicago Lawn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269576&regionType=8&service=chart
,,,441600,Bucktown,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=137603&regionType=8&service=chart
0.61520646,35.36147807,37026.15836,310400,Avondale,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269573&regionType=8&service=chart
0.23426147,38.13106267,51515.18388,143500,Morgan Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269595&regionType=8&service=chart
0.11655274,33.36334207,57593.59307,235000,Mount Greenwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269596&regionType=8&service=chart
0.32220814,35.92419337,48287.68873,171500,Montclare,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=274579&regionType=8&service=chart
,,,267300,University Village - Little Italy,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403141&regionType=8&service=chart
0.24831213,34.88797233,46677.98501,190400,Clearing (W),http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=137841&regionType=8&service=chart
,,,165000,Park Manor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403356&regionType=8&service=chart
0.6142957,34.39114212,43930,88000,O'Hare,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269603&regionType=8&service=chart
0.66718857,37.21089966,24171.28505,0,West Garfield Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269613&regionType=8&service=chart
,,,236000,Galewood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403325&regionType=8&service=chart
0.62092388,32.5312158,63738.49111,522100,Lincoln Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269590&regionType=8&service=chart
0.77964153,38.9016718,20555.30015,255000,Woodlawn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=276138&regionType=8&service=chart
,,,190000,West Humboldt Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403318&regionType=8&service=chart
,,,162000,Scottsdale,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403367&regionType=8&service=chart
0.57902429,25.88775535,60963.40658,376800,Near West Side,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269599&regionType=8&service=chart
0.59861088,35.63593821,42193.55414,245000,Irving Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269587&regionType=8&service=chart
0.5574015,34.5551153,54387.51388,436800,North Center,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269600&regionType=8&service=chart
0.08579398,36.57704623,54594.15146,140000,Ashburn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269570&regionType=8&service=chart
0.47260035,32.82949158,37672.50015,208000,McKinley Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=139408&regionType=8&service=chart
,,,279700,Belmont Gardens,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403317&regionType=8&service=chart
0.16596094,37.01533573,69338.66257,318100,Beverly,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=272951&regionType=8&service=chart
,,,160400,Brainerd,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403378&regionType=8&service=chart
,,,169000,Belmont Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403283&regionType=8&service=chart
,,,0,Pilsen,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=33420&regionType=8&service=chart
,,,386000,Park West,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403308&regionType=8&service=chart
0.15414273,40.40879633,49744.47986,165500,Calumet Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273111&regionType=8&service=chart
,,,270000,Old Irving Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403288&regionType=8&service=chart
0.6860057,38.07981796,32191.68488,319400,Edgewater,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269578&regionType=8&service=chart
0.1965108,31.59447682,53936.26237,273000,Norwood Park East,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269602&regionType=8&service=chart
0.57513089,39.76418028,31139.69207,173000,Grand Crossing,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=276349&regionType=8&service=chart
,,,234200,Buena Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403264&regionType=8&service=chart
0.51575493,24.44641711,67728.03431,333800,The Loop,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269593&regionType=8&service=chart
0.2170924,31.17194368,55502.29752,291000,Edison Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269579&regionType=8&service=chart
,,,459700,Wicker Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=7930&regionType=8&service=chart
0.89501863,42.55383448,16877.13876,209000,Washington Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=275927&regionType=8&service=chart
,,,480400,Sheffield Neighbors,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403306&regionType=8&service=chart
,,,229300,East Hyde Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403352&regionType=8&service=chart
,,,361100,Old Town,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403301&regionType=8&service=chart
0.22175031,34.13459788,42795.34555,112500,Hegewisch,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=138732&regionType=8&service=chart
,,,136500,Fernwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403377&regionType=8&service=chart
,,,409300,Roscoe Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403292&regionType=8&service=chart
0.33333333,43.42349727,34853,175000,Burnside,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=137634&regionType=8&service=chart
,,,145500,Budlong Woods,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403262&regionType=8&service=chart
,,,454600,Wrightwood Neighbors,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403307&regionType=8&service=chart
,,,243000,Wrightwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403151&regionType=8&service=chart
,,,163600,Rosemoor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403379&regionType=8&service=chart
,,,433800,Noble Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403310&regionType=8&service=chart
,,,0,West Woodlawn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403353&regionType=8&service=chart
,,,376300,River North,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403300&regionType=8&service=chart
,,,340000,Palmer Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403314&regionType=8&service=chart
,,,385400,Old Town Triangle,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403304&regionType=8&service=chart
,,,0,Mayfair,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403286&regionType=8&service=chart
,,,170000,Longwood Manor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403376&regionType=8&service=chart
,,,0,North Mayfair,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403271&regionType=8&service=chart
,,,220000,Schorsch Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403284&regionType=8&service=chart
,,,460100,East Ukrainian Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403311&regionType=8&service=chart
,,,142300,Margate Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403266&regionType=8&service=chart
,,,570000,Sauganash,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=140292&regionType=8&service=chart
0.66538232,31.717931,44774.42533,130000,Kenwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=274178&regionType=8&service=chart
,,,320000,Kilbourn Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403287&regionType=8&service=chart
